"match_id","series","round_num","t_team","ct_team","map_name","winning_team","winning_side","start_tick","end_tick","round_end_reason","ct_buy_type","t_buy_type","is_warmup","created_at"
"2hwmhm2w",2,11,"EC Brugge","mastermix123","de_ancient","EC Brugge","T",156424,166216,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,12,"EC Brugge","mastermix123","de_ancient","EC Brugge","T",167112,178672,"TerroristsWin","Eco","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,13,"EC Brugge","mastermix123","de_ancient","mastermix123","CT",179568,198329,"BombDefused","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,14,"EC Brugge","mastermix123","de_ancient","mastermix123","CT",199225,215865,"TargetSaved","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,15,"EC Brugge","mastermix123","de_ancient","EC Brugge","T",216761,224830,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,16,"mastermix123","EC Brugge","de_ancient","mastermix123","T",225726,235637,"TerroristsWin","Eco","Eco",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,17,"mastermix123","EC Brugge","de_ancient","mastermix123","T",236533,245852,"TerroristsWin","Half Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,18,"mastermix123","EC Brugge","de_ancient","mastermix123","T",246748,255069,"TerroristsWin","Eco","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,19,"mastermix123","EC Brugge","de_ancient","EC Brugge","CT",255965,271147,"CTWin","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,20,"mastermix123","EC Brugge","de_ancient","mastermix123","T",272043,288388,"TargetBombed","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,21,"mastermix123","EC Brugge","de_ancient","mastermix123","T",289284,305280,"TerroristsWin","Half Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,22,"mastermix123","EC Brugge","de_ancient","EC Brugge","CT",306176,318443,"BombDefused","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,23,"mastermix123","EC Brugge","de_ancient","EC Brugge","CT",319339,332249,"BombDefused","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,24,"mastermix123","EC Brugge","de_ancient","EC Brugge","CT",333145,341959,"CTWin","Full Buy","Half Buy",False,"2023-06-05 10:23:13.011897+00"
"2hwmhm2w",2,25,"mastermix123","EC Brugge","de_ancient","mastermix123","T",342855,351640,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-05 10:23:13.011897+00"
