"match_id","series","round_num","tick","seconds","clock_time","player_steam_id","player_name","player_team","bomb_action","bomb_site","created_at"
"2hwmhm2w",2,1,21074,20.234375,"00:20","76561198100798845","Arttub0b","mastermix123","defuse_start","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,1,22354,30.234375,"00:10","76561198100798845","Arttub0b","mastermix123","defuse","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,2,33167,62.46875,"00:53","76561197971923260","simixinho","EC Brugge","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,2,33555,65.5,"00:50","76561197971923260","simixinho","EC Brugge","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,3,48529,85.2578125,"00:30","76561197971923260","simixinho","EC Brugge","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,3,48919,88.3046875,"00:27","76561197971923260","simixinho","EC Brugge","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,4,61960,54.296875,"01:01","76561198032071879","n0tice","EC Brugge","plant_begin","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,4,62298,56.9375,"00:59","76561198032071879","n0tice","EC Brugge","plant_abort","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,4,62426,57.9375,"00:58","76561198032071879","n0tice","EC Brugge","plant_begin","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,4,62816,60.984375,"00:55","76561198032071879","n0tice","EC Brugge","plant","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,5,80359,74.0546875,"00:41","76561198246325048","swiiffter","EC Brugge","plant_begin","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,5,80751,77.1171875,"00:38","76561198246325048","swiiffter","EC Brugge","plant","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,6,92861,31.6015625,"01:24","76561197971923260","simixinho","EC Brugge","plant_begin","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,6,93251,34.6484375,"01:21","76561197971923260","simixinho","EC Brugge","plant","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,6,96551,25.78125,"00:15","76561198191301766","RONDE","mastermix123","defuse_start","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,6,97191,30.78125,"00:10","76561198191301766","RONDE","mastermix123","defuse","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,7,109669,75.484375,"00:40","76561198246325048","swiiffter","EC Brugge","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,7,110059,78.53125,"00:37","76561198246325048","swiiffter","EC Brugge","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,8,122817,36.6640625,"01:19","76561198032071879","n0tice","EC Brugge","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,8,123207,39.7109375,"01:16","76561198032071879","n0tice","EC Brugge","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,8,126423,25.125,"00:15","76561198821532633","eneshan","mastermix123","defuse_start","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,8,126451,25.34375,"00:15","76561198821532633","eneshan","mastermix123","defuse_aborted","B","2023-06-05 10:23:10.6181+00"
