"match_id","series","round_num","entity_id","throw_tick","throw_seconds","throw_clock_time","thrower_steam_id","thrower_name","thrower_side","thrower_team","thrower_x","thrower_y","thrower_z","thrower_area_name","thrower_area_id","grenade_type","grenade_x","grenade_y","grenade_z","grenade_area_name","grenade_area_id","created_at","idx"
"2hwmhm2w",1,15,1151677257128912331,228257,68.703125,"00:47","76561198821532633","eneshan","T","mastermix123",2539,136.15625,282.84375,"Graveyard","128","Molotov",1881.78125,-318.34375,259.71875,"Apartments","3048","2023-06-05 10:21:16.558091+00",261
"2hwmhm2w",1,17,1193733966730981736,251777,14.734375,"01:41","76561198032071879","n0tice","T","EC Brugge",200.1875,1353.09375,169.59375,"Banana","789","HE Grenade",616.40625,2083.9375,182.75,"Banana","9","2023-06-05 10:21:16.558091+00",274
"2hwmhm2w",1,4,1195365787068829781,65870,23.515625,"01:32","76561198032071879","n0tice","CT","EC Brugge",140.90625,2669.3125,261.09375,"BombsiteB","1883","Smoke Grenade",336.125,1888.5,127.375,"Banana","139","2023-06-05 10:21:16.558091+00",48
"2hwmhm2w",1,20,1202889933079862972,287787,10.171875,"01:45","76561198314392309","n0te","CT","mastermix123",779.25,2129.96875,203.90625,"","2109","HE Grenade",-54.25,1371.25,100.59375,"Banana","250","2023-06-05 10:21:16.558091+00",322
"2hwmhm2w",1,13,1230564144740221213,206400,10.65625,"00:30","76561197971923260","simixinho","CT","EC Brugge",1630.75,2990.3125,238.65625,"Ruins","385","Smoke Grenade",776.25,2339.8125,137.34375,"BombsiteB","65","2023-06-05 10:21:16.558091+00",232
"2hwmhm2w",1,15,1263631329026482235,228487,70.5,"00:45","76561198821532633","eneshan","T","mastermix123",2553.65625,-38.9375,154.78125,"","2505","HE Grenade",1476.375,171.15625,183.0625,"TopofMid","15","2023-06-05 10:21:16.558091+00",262
"2hwmhm2w",1,8,1265624153646312538,120561,12.578125,"01:43","76561198032071879","n0tice","CT","EC Brugge",774.59375,1939.4375,200.25,"Banana","13","Flashbang",354.9375,1759.21875,137.75,"Banana","366","2023-06-05 10:21:16.558091+00",120
"2hwmhm2w",1,5,1289811348501938193,86825,50.234375,"01:05","76561198140853900","Stev0se","CT","EC Brugge",1273.15625,2845.71875,193.90625,"Ruins","23","Flashbang",691.8125,2515.96875,140.625,"BombsiteB","2735","2023-06-05 10:21:16.558091+00",79
"2hwmhm2w",1,15,1318482951512959321,230373,11.234375,"00:29","76561198315324300","MAGILA-","CT","EC Brugge",1839.34375,1260.21875,228.625,"Arch","492","Flashbang",2172.25,637.1875,179.96875,"BombsiteA","2723","2023-06-05 10:21:16.558091+00",265
"2hwmhm2w",1,1,1349549974248244939,27204,39.125,"01:16","76561198246325048","swiiffter","CT","EC Brugge",1628.78125,1212.5625,234.375,"Arch","58","Flashbang",1142.125,502.375,291.9375,"Middle","21","2023-06-05 10:21:16.558091+00",1
"2hwmhm2w",1,7,1382540517688211504,102650,10.765625,"01:45","76561198032071879","n0tice","CT","EC Brugge",739.125,2193.9375,204.625,"","2109","Incendiary Grenade",74.34375,1329.75,101.21875,"Banana","431","2023-06-05 10:21:16.558091+00",95
