"match_id","series","round_num","tick","seconds","clock_time","attacker_steam_id","attacker_name","attacker_side","attacker_team","attacker_x","attacker_y","attacker_z","attacker_area_name","attacker_area_id","victim_steam_id","victim_name","victim_x","victim_y","victim_z","victim_area_name","victim_area_id","is_trade","player_traded_steam_id","player_traded_team","is_first_kill","is_teamkill","weapon","created_at","idx"
"2hwmhm2w",1,3,57130,39.765625,"01:16","76561197971923260","simixinho","CT","EC Brugge",934.8699340820312,589.6112670898438,88.40925598144531,"Middle","3","76561198037278295","Beruya",774.8368530273438,86.63299560546875,96.02824401855469,"SecondMid","202",False,NULL,NULL,False,False,"USP-S","2023-06-05 10:21:16.653722+00",16
"2hwmhm2w",1,3,58012,46.65625,"01:09","76561198314392309","n0te","T","mastermix123",733.4466552734375,2338.7373046875,136.2725830078125,"BombsiteB","65","76561198246325048","swiiffter",292.4702453613281,3159.254638671875,160.03125,"BombsiteB","799",False,NULL,NULL,False,False,"Galil AR","2023-06-05 10:21:16.653722+00",17
"2hwmhm2w",1,3,59864,8.1875,"00:32","76561197971923260","simixinho","CT","EC Brugge",-144.44784545898438,792.5313720703125,31.504575729370117,"TRamp","2649","76561198821532633","eneshan",138.6570281982422,1008.8577270507812,81.9171142578125,"Banana","1260",False,NULL,NULL,False,False,"Galil AR","2023-06-05 10:21:16.653722+00",18
"2hwmhm2w",1,3,60042,9.578125,"00:31","76561198191301766","RONDE","T","mastermix123",461.9822082519531,551.6984252929688,85.42981719970703,"Middle","43","76561197971923260","simixinho",-97.77764129638672,844.4353637695312,41.89957809448242,"TRamp","137",True,"76561198821532633","mastermix123",False,False,"MAC-10","2023-06-05 10:21:16.653722+00",19
"2hwmhm2w",1,4,64998,16.703125,"01:39","76561198140853900","Stev0se","CT","EC Brugge",1494.157470703125,359.83380126953125,135.1876983642578,"TopofMid","2718","76561198100798845","Arttub0b",-343.1408996582031,883.4462280273438,-10.813053131103516,"TRamp","326",False,NULL,NULL,True,False,"AWP","2023-06-05 10:21:16.653722+00",20
"2hwmhm2w",1,4,68906,47.234375,"01:08","76561198314392309","n0te","T","mastermix123",288.3981018066406,1909.4759521484375,127.74895477294922,"Banana","1257","76561198315324300","MAGILA-",817.7189331054688,2115.358642578125,138.54624938964844,"","2109",False,NULL,NULL,False,False,"AK-47","2023-06-05 10:21:16.653722+00",21
"2hwmhm2w",1,4,69694,53.390625,"01:02","76561198032071879","n0tice","CT","EC Brugge",773.3588256835938,2765.337890625,127.88836669921875,"BombsiteB","64","76561198037278295","Beruya",875.9982299804688,2482.88916015625,145.03125,"BombsiteB","2821",False,NULL,NULL,False,False,"M4A4","2023-06-05 10:21:16.653722+00",22
"2hwmhm2w",1,4,69762,53.921875,"01:02","76561198032071879","n0tice","CT","EC Brugge",761.217041015625,2772.318603515625,127.7160873413086,"BombsiteB","64","76561198821532633","eneshan",634.0033569335938,2444.000732421875,193.03125,"BombsiteB","522",False,NULL,NULL,False,False,"M4A4","2023-06-05 10:21:16.653722+00",23
"2hwmhm2w",1,4,69808,54.28125,"01:01","76561198032071879","n0tice","CT","EC Brugge",760.9497680664062,2772.467041015625,127.70034790039062,"BombsiteB","64","76561198314392309","n0te",755.4461059570312,2445.772705078125,135.5389862060547,"BombsiteB","522",False,NULL,NULL,False,False,"M4A4","2023-06-05 10:21:16.653722+00",24
"2hwmhm2w",1,5,84879,35.03125,"01:20","76561198315324300","MAGILA-","CT","EC Brugge",937.5783081054688,2781.47119140625,128.22384643554688,"BombsiteB","221","76561198821532633","eneshan",725.1978759765625,2121.36328125,136.0283660888672,"","2109",False,NULL,NULL,True,False,"M4A4","2023-06-05 10:21:16.653722+00",25
